,fan_num,gender,have_pic_count,is_verified,level,mean_attitudes,mean_comments,mean_reposts,name,original_count,source,sum_attitudes,sum_comments,sum_reposts,total_weibo_count,uid,关注人数
0,31,f,0,False,4,0.0,0.0,0.0,平卉兆一威Davey,0,,0,0,0,0,3980963837,53
1,80,m,1,False,14,0.0,0.0,0.0,人心丶29291,13,iPhone客户端,0,0,0,17,5537734126,453
2,1,f,0,False,1,0.0,0.0,0.0,用户6851935736,0,,0,0,0,0,6851935736,22
3,91,f,19,False,14,1.8421052631578947,1.8421052631578947,0.0,我是小子涵,19,前置双摄vivo X9,35,35,0,19,5401367739,341
4,54,f,0,False,6,0.0,0.0,0.0,鹤归云间,0,,0,0,0,0,6004847631,58
5,1,m,0,False,4,0.0,0.0,0.0,ss杰弟弟,0,,0,0,0,0,6413929913,76
6,225,m,0,False,14,0.0,0.0,0.0,遞风o心,18,iPhone 6s Plus,0,0,0,26,3991116532,453
7,89,m,0,False,26,0.0,0.0,0.0,枯树生华,0,,0,0,0,0,1760989205,303
8,41,f,0,False,9,0.0,0.0,0.0,鹿和羚,1,HUAWEI nova手机,0,0,0,2,5590205688,150
9,3,m,0,False,4,0.0,0.0,0.0,用户5990946509,0,,0,0,0,0,5990946509,112
10,1,m,0,False,4,0.0,0.0,0.0,WSQ王思清,0,,0,0,0,0,6738300259,22
11,191,f,0,False,31,0.0,0.0,0.0,再懒我就变成球er,2,iPhone客户端,0,0,0,8,2675687131,168
12,32,f,7,False,7,0.25,0.8333333333333334,0.0,蓝色考拉Penelope,8,iPhone客户端,3,10,0,12,6129332816,67
13,51,m,0,False,4,0.0,0.0,0.0,假装今天吃过药了,0,,0,0,0,0,6179699718,55
14,21,m,0,False,4,0.0,0.0,0.0,九凌QAQ,0,,0,0,0,0,5853529939,131
15,851,f,0,False,21,0.0,0.0,0.0,poarla,0,,0,0,0,0,2257357873,282
16,2,m,0,False,4,0.0,0.0,0.0,哇哈哈粉丝团,0,,0,0,0,0,6283035756,2
17,16,f,0,False,8,0.0,0.0,0.0,pang耶,0,,0,0,0,0,5371951883,184
18,61,m,0,False,4,0.0,0.0,0.0,地根天,0,,0,0,0,0,5343064207,210
19,134,m,0,False,14,0.0,0.0,0.0,早睡的黑眼圈,0,,0,0,0,0,2917791322,194
